行业代码,行业名称,成分股
URFI881116,建筑装饰,"USZA002431,USZA300564,USZA003001,USZA002989,USTM920873,USZA002883,USHA601068,USZA301058,USHA600720,USHA603017,USHA601618,USHA601390,USHA601186,USHA603257,USHA601868,USHA601800,USHA601668,USHA601117,USHA601611,USZA002116,USHA601669,USHA603860,USZA002051,USZA000928,USZA300635,USTM920003,USHA600970,USZA002811,USHA603637,USZA002061,USZA002761,USZA301136,USHA605303,USZA300983,USZA300712,USHA603929,USZA002375,USZA002323,USTM920149,USZA002941,USZA300778,USZA002775,USZA300621,USTM920019,USHA600846,USHA600512,USHA600667,USHA600820,USZA301505,USZA300982,USZA300284,USHA600039,USHA605178,USHA603163,USZA300977,USZA301038,USZA000032,USZA301091,USZA300732,USHA603357,USHA603153,USHA600170,USHA605598,USHA600248,USZA300844,USZA000498,USHA603098,USZA300384,USTM920099,USZA002629,USHA603030,USZA300500,USHA600284,USZA002663,USZA300536,USHA601789,USZA301046,USZA002830,USZA002856,USZA000010,USHA605289,USHA600491,USHA600853,USHA605167,USZA300989,USHA600234,USHA603458,USZA301365,USZA301390,USHA600496,USZA301098,USZA002081,USHA603815,USHA601886,USZA301167,USZA300675,USHA603909,USZA301024,USHA603176,USZA002949,USTM920427,USHA603018,USZA301027,USHA600629,USHA601226,USZA002062,USZA002541,USHA603137,USZA002963,USZA300649,USHA600477,USZA002163,USZA300517,USZA300048,USTM920892,USZA002482,USZA002060,USZA000628,USZA000779,USZA002743,USZA002135,USZA002140,USZA003013,USHA605287,USHA603955,USHA600939,USZA002628,USZA300826,USZA002307,USZA000065,USHA603959,USTM920057,USHA601133,USZA300949,USHA600502,USZA002586,USZA002620,USZA300506,USHT603828,USZA002542,USHT603843,USZA300029,USZA002200,USZA002789,USZA002713,USHT600193,USZA002047"
URFI881117,通用设备,"USZA001696,USHA688648,USZA002445,USZA300470,USHA688211,USZA000039,USZA301559,USZA000777,USZA002896,USZA002877,USZA300985,USZA301303,USZA300838,USZA301616,USTM920855,USHA688577,USZA301107,USZA300306,USZA002943,USZA002903,USHA688628,USTM920943,USZA002795,USHA603308,USZA301399,USZA301272,USHA603969,USHA603277,USZA002686,USZA002559,USZA301317,USTM920950,USZA002639,USTM920685,USZA300259,USHA688257,USZA300157,USZA301032,USZA301226,USZA301160,USHA605056,USZA002767,USZA001306,USHA603667,USZA300420,USHA688028,USZA002871,USZA000880,USZA002849,USHA688600,USZA301252,USTM920509,USZA300990,USZA301255,USTM920651,USZA300165,USZA301125,USZA001379,USZA002843,USZA300992,USZA002347,USZA000570,USHA603339,USHA688665,USZA300179,USHA688115,USHA688583,USZA003025,USZA300817,USZA000410,USZA301018,USZA002633,USHA603131,USZA300897,USZA002026,USZA300515,USZA300066,USZA300554,USZA300466,USHA603028,USZA300828,USZA300126,USZA301129,USZA300154,USZA301596,USZA301273,USZA301525,USHA688768,USTM920223,USZA002520,USHA688528,USZA000837,USZA301603,USTM920679,USTM920169,USHA688337,USZA301353,USHA688308,USHA688697,USHA603699,USHA603700,USHA603088,USZA002164,USZA300417,USZA300145,USZA300112,USZA301309,USZA301268,USHA688355,USTM920833,USZA300861,USZA301006,USZA301043,USZA300263,USHA600592,USZA002884,USHA605060,USZA300421,USZA002131,USZA300557,USHA688557,USTM920363,USHA688056,USZA301311,USTM920570,USTM920689,USHA688455,USHA688305,USHA603662,USZA300445,USZA300257,USZA301070,USZA301448,USHA603617,USZA002444,USZA002342,USZA300203,USTM920505,USHA603279,USHA688251,USTM920035,USZA300567,USHA600860,USHA601002,USZA300984,USZA300606,USZA300349,USHA603270,USZA002530,USZA002438,USZA300193,USHA603912,USZA300553,USTM920879,USZA300503,USZA300371,USTM920455,USTM920725,USHA600172,USZA300161,USHA603400,USHA688433,USHA688059,USHA688379,USHA605100,USZA002248,USZA300809,USHA603090,USZA002132,USTM920870,USZA301261,USZA300488,USZA300946,USHA688622,USHA600343,USHA601177,USZA002158,USZA300007,USHA601882,USHA603187,USHA603269,USTM920476,USZA300720,USZA300885,USHA600202,USZA301137,USHA688558,USHA603915,USZA002046,USHA600992,USZA301151,USZA301197,USHA688539,USZA300228,USZA002760,USZA002931,USZA301368,USTM920510,USTM920082,USTM920662,USZA300700,USZA301528,USHA600114,USZA300354,USZA002819,USZA002175,USHA688112,USZA301377,USZA301028,USHA688360,USZA300780,USHA603757,USHA603278,USHA600558,USHA688448,USZA300943,USTM920961,USZA300083,USHA603100,USZA002272,USZA301548,USTM920407,USZA300718,USHA603201,USHA688333,USZA002282,USZA000530,USZA000811,USZA300667,USTM920807,USHA603082,USZA300441,USZA002514,USZA300402,USZA301083,USHA603331,USTM920491,USZA301413,USZA300370,USZA300572,USHA688610,USTM920693,USZA002598,USZA002122,USHA688808,USZA300211,USHT600889,USZA300091,USHT600421,USHT600243"
URFI881118,专用设备,"USTM920026,USHA688121,USHA600545,USHA603135,USZA300512,USHA601608,USZA300435,USZA002021,USZA002779,USHA600579,USHA601106,USHA688128,USHA601717,USHA688596,USHA600320,USZA300837,USHA603488,USZA001288,USHA603095,USZA301053,USZA300099,USZA300549,USHA603901,USZA002837,USZA002786,USZA300415,USHA601038,USZA001395,USHA688633,USHA688383,USZA300509,USHA688630,USZA001332,USTM920061,USZA001256,USZA002722,USHA603956,USZA301533,USHA605286,USZA300931,USHA603895,USZA002564,USZA002523,USZA002009,USHA603029,USHA600582,USTM920014,USZA003036,USHA603289,USZA300813,USHA688813,USHA603656,USZA001277,USZA300382,USZA300540,USZA002278,USHA688328,USHA603159,USHA600835,USHA600843,USHA601369,USZA002490,USZA002526,USZA300210,USZA301056,USTM920475,USHA600520,USZA002337,USZA002483,USTM920717,USTM920781,USZA002073,USHA603036,USHA688531,USZA002960,USZA002757,USZA001360,USZA300004,USZA300818,USHA688419,USTM920931,USZA002690,USHA688420,USHA603321,USZA300275,USHA605259,USTM920284,USZA002535,USHA688113,USHA603391,USZA301013,USHA603076,USHA603169,USZA300293,USHA601798,USZA002774,USZA300092,USZA002367,USTM920553,USZA301338,USZA300412,USZA301128,USHA688162,USZA002031,USHA688627,USZA002006,USZA300988,USHA600560,USZA300281,USZA300756,USZA300411,USZA002353,USHA603337,USHA600397,USZA001400,USZA300823,USZA002691,USZA000856,USHA688022,USZA301392,USZA301601,USHA688071,USZA301138,USHA688001,USZA300095,USHA603855,USHA603356,USTM920895,USZA300669,USZA300471,USZA002890,USZA002833,USHA688789,USHA603800,USZA301105,USTM920177,USZA001225,USTM920856,USZA300833,USHA688529,USZA002595,USHA603698,USHA600501,USHA688755,USZA300084,USZA301063,USHA603011,USHA601399,USHA600444,USZA300902,USTM920703,USHA600894,USZA300480,USZA301260,USZA300499,USHA603173,USTM920608,USHA603966,USZA000852,USHA688700,USZA002611,USZA002730,USHA688377,USZA301158,USZA300950,USZA300879,USTM920091,USZA002204,USZA300865,USHA603081,USZA300103,USZA002209,USZA300307,USTM920810,USHA603012,USZA300195,USTM920158,USZA300151,USZA301468,USZA300971,USHA603325,USZA301598,USHA600302,USHA600980,USHA600262,USZA300836,USTM920112,USTM920080,USZA300521,USHA688092,USZA002689,USHT600169,USTM920156,USHT603789,USZA300472,USZA300159,USZA002816,USZA002529"
URFI881121,半导体,"USZA002049,USZA300782,USZA300327,USHA688981,USHA688012,USHA688380,USHA688332,USHA688361,USZA003026,USHA603991,USHA603690,USHA603986,USHA688362,USHA688498,USHA688515,USHA600206,USHA688432,USHA688807,USHA688209,USHA688689,USZA300373,USHA688172,USZA002409,USZA301536,USHA688593,USHA605111,USZA301678,USHA688037,USHA688521,USHA688508,USHA688469,USHA688595,USHA688582,USHA688230,USHA688605,USHA600641,USHA688173,USZA301629,USHA688783,USHA600745,USHA688372,USHA688153,USHA688147,USHA688072,USZA002156,USHA688234,USHA688252,USHA688591,USZA300046,USHA688213,USHA688536,USHA603290,USHA600460,USZA300661,USHA688233,USHA688584,USHA600171,USHA688325,USZA300456,USHA603893,USHA688352,USZA300458,USHA688138,USHA688216,USHA688766,USZA300831,USHA688530,USHA688484,USHA688052,USHA688802,USHA688795,USHA688699,USHA688286,USHA688458,USHA688401,USHA688486,USHA688047,USHA688721,USHA688449,USZA301369,USHA688601,USHA688589,USHA605358,USHA688135,USHA688018,USHA688008,USZA301348,USHA688693,USZA301611,USHA688653,USZA002119,USTM920526,USTM920179,USHA688391,USHA688809,USHA688049,USHA688167,USHA688652,USHA688478,USHA688130,USHA688249,USHA688368,USHA603005,USHA688099,USHA603061,USZA300623,USHA688141,USZA300666,USZA301308,USHA603160,USHA688403,USHA688512,USZA003043,USZA002185,USHA688396,USTM920139,USHA688347,USHA688120,USHA688535,USHA688200,USHA688126,USHA688711,USHA688785,USHA688608,USHA688416,USHA688727,USHA603501,USZA300053,USHA688256,USHA688041,USHA688729,USHA688262,USZA300077,USZA300672,USHA688728,USZA300613,USZA300671,USZA301297,USHA688409,USHA688385,USHA688279,USHA688110,USHA688261,USHA600877,USHA688381,USZA001309,USZA002213,USHA600198,USZA301666,USZA002077,USHA688082,USHA688702,USHA603375,USHA688259,USTM920012,USHA603316,USHA688709,USHA688048,USHA600584,USZA300604,USHA688691,USHA688061,USHA603068,USHA688045,USZA300223,USZA002371,USHA688525,USHA688220,USHA688790,USHA688107,USHA688620,USHA688798,USHA688720,USZA300706,USHA688123,USHT688270,USHA688820,USHT600360"
URFI881122,光学光电子,"USZA300232,USHA688307,USHA603297,USZA300582,USHA600261,USZA002952,USZA002983,USZA002723,USZA001373,USZA002962,USHA603773,USTM920001,USHA605218,USZA002387,USZA002845,USZA301379,USZA301045,USHA688195,USZA301002,USZA300331,USZA002273,USHA688781,USZA002137,USZA000050,USZA000020,USZA000045,USHA600884,USZA300701,USZA300625,USZA002876,USHA600703,USZA300241,USZA003015,USZA300939,USHA688496,USZA002638,USHA603515,USZA002456,USZA300940,USZA002654,USZA002745,USZA301362,USHA688079,USHA688502,USZA300752,USHA688055,USZA001326,USZA300269,USZA300545,USZA002036,USHA605365,USZA300296,USZA300162,USHA688127,USZA002106,USZA001308,USHA600552,USZA301106,USZA300303,USZA300708,USZA300808,USZA300120,USZA000725,USZA300566,USZA300909,USZA000536,USHA603679,USZA000509,USZA300323,USZA301479,USZA300219,USZA002955,USTM920339,USHA688538,USZA301321,USZA002724,USZA300102,USZA002217,USZA002449,USZA300489,USZA300632,USHA605588,USZA000727,USTM920438,USZA002222,USHA688010,USZA000541,USHA600071,USZA301183,USHA603303,USZA003019,USHA603703,USHA603685,USHA688299,USZA300088,USHA600707,USZA301421,USZA002992,USHA688181,USZA002587,USHA688322,USZA300889,USZA300389,USZA000100,USZA300301,USZA300076,USZA002076,USZA002808"
URFI881123,其他电子,"USZA301031,USZA001287,USZA301563,USZA002161,USZA000670,USZA300131,USZA002922,USZA301099,USHA600353,USZA002388,USZA300475,USZA002130,USZA301328,USZA300650,USHA688093,USZA000062,USZA300975,USTM920181,USHA603933,USZA300493,USHA688800,USZA300656,USZA300184,USZA002782,USZA300516,USZA002885,USZA002859,USZA001298,USZA002729,USZA301275,USHA688103,USHA688662,USZA301359,USZA300991,USZA300736"
URFI881124,消费电子,"USZA002369,USZA300686,USHA688260,USZA002861,USZA301123,USHA688775,USZA002925,USZA300956,USZA001314,USZA300812,USHA603380,USTM920357,USTM920267,USZA300256,USZA301051,USZA301329,USZA300136,USHA605277,USZA301067,USTM920346,USZA002139,USHA688210,USZA301383,USZA301626,USZA300322,USZA002841,USZA002426,USZA300843,USZA000021,USZA301180,USZA002660,USZA002351,USZA301606,USZA301389,USHA603341,USZA002600,USHA600363,USZA002475,USHA603629,USZA300784,USZA300916,USZA300543,USZA300433,USHA603052,USHA603626,USZA301182,USZA300709,USZA300032,USZA002855,USZA301326,USZA300868,USZA300793,USTM920857,USZA002888,USTM920876,USHA601231,USHA603296,USZA301285,USZA301086,USZA002947,USHA688661,USTM920701,USZA301491,USZA300787,USTM920183,USZA002045,USZA300735,USHA688007,USZA301387,USZA002655,USHA601138,USZA300968,USZA002241,USHA603327,USHA600203,USHA688678,USZA002681,USZA300602,USTM920005,USZA300679,USZA300976,USHA603890,USHA688036,USZA002866,USZA002981,USZA300647,USZA300115,USZA300951,USZA300822,USZA301567,USZA301189,USZA002993,USZA300866,USZA002635,USHT603595,USZA002055,USHT600130"
URFI881125,汽车整车,"USZA000980,USZA000957,USZA301039,USZA000951,USHA600066,USZA000800,USHA600303,USHA600104,USHA601127,USHA601777,USHA600686,USZA000550,USHA600418,USHA600375,USZA000572,USHA601238,USHA600166,USHA600006,USHA601633,USZA000625,USZA002594,USHA600733,USZA000868"
URFI881126,汽车零部件,"USZA301560,USHA688737,USZA002448,USHA603767,USZA301072,USZA000887,USHA603049,USTM920212,USHA603352,USHA603089,USZA301119,USHA603239,USZA002703,USHA603119,USHA603048,USZA301535,USZA301000,USZA300695,USZA301173,USZA300304,USZA002725,USZA002406,USHA603418,USHA601279,USZA300681,USZA002126,USZA002420,USTM920221,USZA301631,USZA001278,USHA603190,USZA002284,USHA603013,USZA301310,USHA603949,USHA603305,USZA002937,USZA002355,USZA301398,USHA601799,USZA002664,USHA603040,USHA603179,USZA002328,USZA301613,USZA300745,USZA002965,USZA000678,USZA002870,USZA301170,USHA605151,USZA300733,USHA603348,USZA301499,USZA000338,USZA000581,USZA300707,USHA688612,USHA603023,USTM920896,USHA601689,USTM920454,USHA601500,USTM920187,USHA603390,USTM920168,USHA603926,USHA603202,USZA002283,USZA002510,USHA605255,USTM920270,USHA603266,USHA603085,USHA603158,USZA301192,USTM920020,USHA603210,USTM920378,USZA002766,USZA301397,USTM920418,USZA300507,USZA002454,USZA300893,USZA301550,USTM920906,USZA300100,USZA002472,USTM920022,USHA603178,USHA605228,USHA603109,USHA600626,USHA688533,USHA605128,USHA603107,USZA000981,USZA002984,USTM920195,USZA001282,USHA601163,USHA601058,USHA605133,USZA002997,USZA002976,USZA001285,USHA603286,USZA002593,USHA600218,USHA603982,USZA000599,USHA603758,USZA300375,USZA301229,USZA002048,USHA603788,USZA300998,USZA002553,USZA301667,USHA605319,USZA000559,USZA300643,USZA002434,USZA002085,USZA002590,USZA000700,USZA001319,USTM920663,USHA605068,USZA301020,USZA300611,USHA603319,USZA300694,USHA603633,USZA002813,USTM920055,USZA300680,USZA002363,USHA600480,USHA688667,USHA601966,USTM920106,USZA301656,USZA002921,USZA300428,USZA300652,USHA603655,USZA002765,USZA001260,USZA002516,USHA603960,USTM920086,USZA301552,USHA603161,USHA603786,USHA603037,USZA300912,USTM920978,USZA300863,USTM920533,USHA600699,USHA688280,USZA300258,USHA603211,USZA002863,USHA603586,USZA301133,USHA603922,USZA002488,USHA600609,USTM920690,USTM920242,USHA603997,USTM920720,USHA603409,USZA301581,USHA603306,USTM920837,USHA600741,USZA002906,USTM920146,USZA001380,USHA603121,USTM920247,USZA002806,USHA603358,USZA300928,USHA603007,USHA605333,USHA600698,USZA301539,USZA300176,USZA300969,USZA301225,USHA603809,USZA301488,USZA300446,USZA000901,USHA600151,USZA301022,USZA002537,USZA001233,USHA605005,USHA603917,USZA000589,USHA600523,USZA002101,USZA002708,USHA605088,USZA301680,USHA600742,USZA301607,USZA300432,USZA000030,USHA600660,USZA301529,USHA603166,USHA600469,USZA002662,USZA301459,USZA002536,USHA600651,USHA603730,USZA001311,USHA600841,USZA301298,USZA300978,USHA600081,USHA600178,USHA603335,USZA002715,USZA002920,USZA301007,USHA603701,USZA300473,USHA603376,USTM920436,USZA301233,USZA002547,USZA300547,USZA002190,USZA301005,USZA301186,USHA603950,USHA605018,USHA600148,USHA603035,USHA603768,USHA600960,USHA603596,USZA301608,USZA300926,USZA301181,USZA300580,USHA603009,USHA603197,USTM920271,USZA002239,USZA300585,USHA688021,USTM920000,USHA600933,USZA300816,USHA603293,USHA600182,USZA000903,USZA300237,USZA002592"
URFI881128,汽车服务及其他,"USZA301215,USHA600818,USZA003033,USHA603776,USZA002105,USHA603787,USZA301345,USHA600653,USHA600822,USHA600679,USZA000913,USZA301322,USHA603766,USHA600099,USHA689009,USZA300994,USTM920058,USZA000757,USHA600335,USTM920030,USHA603129,USHA600386,USHA603529,USZA300825"
