行业代码,行业名称,成分股
URFI881129,通信设备,"USZA000063,USHA600522,USZA300308,USZA300414,USZA003031,USZA301486,USHA688418,USZA300913,USTM920374,USHA688159,USHA600105,USHA688080,USZA002897,USZA300628,USHA603236,USZA300590,USZA002396,USHA688387,USZA300502,USZA300615,USZA002194,USHA688100,USZA002792,USZA002491,USZA300394,USZA300504,USZA000070,USZA300570,USHA688592,USHA688313,USZA002796,USZA300563,USHA688618,USZA301165,USHA603803,USZA002313,USHA600775,USZA300698,USZA300710,USZA002902,USZA301577,USZA301307,USZA002881,USZA301205,USTM920249,USZA301202,USHA688283,USZA300565,USZA301314,USHA603083,USZA300213,USTM920045,USZA000586,USZA001267,USZA002296,USHA603042,USZA300627,USZA002104,USHA600487,USHA688292,USZA002583,USHA688027,USZA300638,USZA300711,USZA002281,USZA300620,USHA603118,USZA300098,USTM920640,USHA600498,USZA301191,USZA002017,USZA300353,USZA300183,USHA600776,USHA603421,USHA688668,USHA688205,USZA300134,USZA003040,USZA300689,USHA688143,USZA300548,USHA600345,USHA601869,USHA688182,USZA301419,USZA300555,USZA300205"
URFI881130,计算机设备,"USZA300659,USZA002912,USZA300270,USHA603019,USZA000066,USZA300847,USZA001339,USZA300771,USZA301503,USZA300645,USZA300333,USHA688060,USZA300790,USZA300531,USHA688475,USZA300249,USZA300324,USZA300546,USZA300130,USZA002376,USZA000997,USZA300857,USZA300588,USZA300508,USZA301318,USTM920198,USZA300302,USZA002835,USHA600100,USZA301339,USZA300807,USZA300743,USZA300789,USZA301330,USHA603660,USHA603508,USTM920808,USTM920976,USZA300479,USHA688489,USZA002970,USZA301589,USZA001229,USZA300552,USTM920036,USHA688619,USZA300691,USHA605118,USTM920190,USZA002577,USZA000977,USZA300042,USTM920395,USZA301391,USZA002869,USZA300845,USZA301117,USZA300368,USZA301600,USHA688288,USHA603106,USHA603496,USZA300455,USZA300449,USZA002415,USZA002152,USZA300551,USZA300386,USZA002268,USZA300884,USHA688208,USZA002236,USZA002990,USHA603516,USZA300941,USZA002180,USZA301042,USZA300155,USZA002528,USZA300462,USZA002512,USTM920090,USZA003004"
URFI881131,白色家电,"USZA301280,USZA003028,USZA001387,USZA300160,USZA002860,USZA300342,USZA002676,USTM920768,USZA000016,USHA603578,USZA002050,USZA301135,USHA603075,USTM920124,USHA603150,USZA000333,USZA001268,USHA603519,USHA603726,USZA002418,USHA603677,USHA603311,USHA600983,USHA603112,USTM920108,USZA301008,USZA300279,USZA002402,USZA002290,USZA300403,USZA000921,USHA600619,USHA600690,USTM920699,USTM920718,USZA000651,USZA002011,USZA300217,USHA601956,USHA600854,USHA603657,USZA000521,USZA000404,USHA600336,USZA002668"
URFI881132,黑色家电,"USZA002429,USZA000801,USHA600839,USHA688609,USHA688696,USHA600060,USZA000810,USZA301578,USZA002848"
URFI881133,饮料制造,"USZA002910,USZA002461,USHA600084,USZA000869,USHA600887,USHA605179,USHA603156,USZA001318,USZA002732,USZA000729,USZA300898,USZA002946,USHA603711,USZA300106,USHA600300,USHA603779,USHA600419,USHA600429,USHA600189,USHA600600,USZA300892,USHA600882,USHA605337,USTM920786,USHA605388,USHA600616,USHA605300,USHA601579,USHA600573,USZA002329,USZA300997,USZA300915,USZA000523,USHA600962,USHA600597,USHA600059,USHA605499,USHA600132,USZA000848,USZA002570,USZA002568,USHA605198,USZA000752,USHT600238,USHT600543,USZA000929"
URFI881134,食品加工制造,"USHA603057,USTM920726,USZA300908,USHA600872,USHA603886,USHA603697,USZA301116,USTM920273,USZA002847,USZA300791,USZA000639,USZA002956,USHA603237,USHA605089,USHA603317,USHA603866,USZA300146,USZA000895,USZA300783,USZA002216,USHA603755,USZA001219,USZA001215,USHA603027,USZA002557,USHA605339,USZA002719,USZA002726,USHA603719,USHA600186,USZA300973,USHA603777,USZA002661,USTM920429,USZA003000,USZA002515,USZA002626,USHA600530,USZA002495,USHA603262,USHA603536,USZA002695,USZA002840,USHA600305,USZA000716,USZA002582,USZA002702,USHA603288,USZA002820,USHA603043,USZA000529,USHA600073,USZA002991,USTM920826,USZA002507,USZA002330,USHA605567,USHA603170,USHA603102,USHA605338,USHA600298,USHA603345,USHA603696,USHT603517,USZA002650,USHT600381"
URFI881135,纺织制造,"USHA601599,USHA603130,USHA605055,USTM920527,USZA002098,USZA002674,USHA603889,USZA000955,USZA002003,USHA603055,USHA603238,USZA300918,USZA301066,USZA000726,USZA002394,USZA300819,USHA600232,USZA300877,USZA002042,USHA600156,USHA605180,USZA000850,USZA300979,USHA600448,USZA002144,USHA600987,USZA001390,USZA002083,USHA605189,USHA600493,USHA603073,USHA601339,USZA001312"
URFI881136,服装家纺,"USZA002867,USHA605003,USZA300901,USHA600916,USZA003041,USHA603307,USHA600177,USZA003016,USHA603608,USZA300005,USHA603877,USTM920262,USZA001234,USHA603365,USZA000017,USZA002563,USZA002780,USHA600439,USZA002193,USZA301088,USZA002687,USZA002029,USHA603196,USZA300591,USHA603908,USZA002574,USZA002397,USZA002269,USZA300945,USZA002293,USHA600630,USHA600612,USHA600137,USZA002612,USHA603900,USZA300840,USHA603665,USZA300577,USHA601566,USHA603518,USZA002721,USHA603558,USZA002486,USZA002404,USZA301276,USHA601718,USZA002763,USZA002494,USZA001209,USZA300952,USHA600398,USHA603958,USHA603116,USHA600400,USHA603808,USZA002327,USZA000026,USHA603587,USZA301177,USHA605138,USZA002345,USHA605599,USZA002832,USZA002154,USZA002634,USHA603001,USHA603839,USZA002875,USHA603511,USZA002731,USHT600735,USHT603557,USHT600107,USZA002656,USZA002762,USZA002569"
URFI881137,造纸,"USHA600963,USHA600793,USHA603733,USHA605007,USZA002078,USHA603863,USHA600567,USHA605500,USHA603165,USHA600103,USTM920394,USHA600235,USHA603284,USZA002012,USZA002521,USZA002067,USHA605377,USHA600308,USHA600356,USZA301469,USHA600433,USHA600966,USZA002235,USZA000488"
URFI881138,包装印刷,"USHA600210,USZA000659,USZA002374,USZA301223,USZA002831,USZA002014,USHA603058,USZA002846,USHA603022,USZA300260,USZA301296,USZA002836,USHA603499,USZA301198,USZA002735,USZA003003,USZA002565,USZA301062,USZA000812,USZA002752,USHA601515,USZA301355,USZA002303,USZA300883,USHA600076,USZA001279,USHA603607,USZA002191,USZA003018,USTM920121,USTM920392,USZA002969,USZA002799,USZA002787,USTM920204,USTM920274,USZA300501,USZA002228,USTM920163,USZA002117,USHA603687,USZA002599,USHA601968,USTM920075,USZA002701,USHT603429"
URFI881139,家居用品,"USZA002678,USHA603091,USHA603709,USZA301376,USHA603801,USHA605080,USZA001238,USZA002489,USZA301055,USZA002162,USZA001222,USZA300993,USHA603600,USZA002899,USZA301113,USZA300163,USHA603008,USHA605155,USHA603326,USHA605268,USZA001368,USZA301356,USZA301335,USHA603725,USZA301595,USTM920132,USZA002572,USHA603992,USZA001211,USHA605299,USZA002862,USZA300616,USZA301227,USZA001300,USZA002790,USHA603610,USZA301336,USHA603818,USZA002094,USZA002853,USHA603833,USZA001323,USZA301101,USHA603216,USHA603313,USZA002918,USTM920765,USHA600337,USZA001386,USTM920445,USHA603272,USZA300729,USHA600499,USZA301287,USZA002301,USHA603180,USZA300651,USZA301061,USHA603208,USHA603408,USZA001322,USZA301004,USHA603385,USZA301011,USZA001216,USZA301501,USHA603661,USHA603848,USHA603898,USZA001221,USZA003011,USZA002084,USZA300329,USZA002615,USZA301193,USZA002103,USHA603816,USHA605099,USHA603195,USZA002348,USZA001356,USHA603226,USZA003012,USZA300749,USZA002798,USZA300640,USZA002571,USZA002631,USZA000910,USZA300703,USHA603899,USHA603615,USHA603221,USZA301575,USHT603021,USHT603389,USHT600599,USHT603838"
URFI881140,化学制药,"USTM920566,USZA000931,USHA600216,USHA688266,USHA688658,USHA688513,USZA002437,USZA002365,USZA300381,USHA688382,USZA002019,USZA002826,USZA300723,USZA002370,USHA688176,USHA688247,USZA300573,USTM920017,USZA002294,USZA301277,USZA300765,USZA000756,USTM920367,USZA002001,USHA603207,USZA300111,USZA002332,USZA301130,USHA603676,USHA688321,USHA603351,USZA301089,USZA300636,USZA000766,USZA300702,USHA603235,USZA301263,USHA603520,USZA002038,USZA300204,USHA688197,USHA688117,USHA600613,USHA688091,USZA300452,USHA603168,USTM920946,USZA300583,USHA688758,USZA002923,USHA688221,USZA300254,USZA002550,USZA000739,USTM920230,USZA002102,USHA688189,USHA688690,USTM920547,USZA301507,USHA688373,USHA603538,USZA002793,USHA600789,USHA603669,USHA600513,USZA002393,USZA003020,USZA000513,USZA300006,USZA301281,USZA002422,USZA300086,USZA300705,USZA002020,USHA600488,USZA300434,USZA000919,USZA300233,USHA603707,USHA600380,USHA688356,USHA688566,USHA688553,USZA000915,USHA600062,USZA300110,USHA688799,USHA600521,USZA000963,USHA600812,USZA002004,USZA300401,USZA301246,USHA600276,USZA301211,USZA000953,USHA600774,USZA300199,USHA600267,USHA600851,USZA002099,USZA002653,USZA001367,USZA002399,USZA000566,USHA688302,USZA300584,USTM920656,USHA600664,USZA002900,USTM920478,USHA600420,USHA605507,USZA300436,USZA000952,USZA300966,USZA300497,USZA301258,USHA600196,USHA688505,USHA601089,USZA300194,USZA000153,USZA300267,USZA002262,USZA301075,USHA605177,USZA002675,USZA000597,USHA688192,USZA000813,USTM920735,USZA301301,USHA603811,USHA603367,USZA300255,USHA688166,USHA688759,USZA301065,USZA300558,USZA300016,USZA000788,USHA688506,USHA688235,USHA603229,USZA002755,USHA605116,USZA002940,USHA688578,USZA002872,USHT600079,USHT688076,USZA000908,USHT600624,USZA002742,USZA002898,USZA002168"
URFI881141,中药,"USZA300181,USZA002317,USHA600252,USZA300158,USHA603567,USZA000538,USZA301111,USZA002566,USHA600594,USZA002603,USHA600351,USZA002390,USZA002873,USZA300519,USZA002107,USZA300878,USHA600085,USHA600535,USHA600671,USZA002728,USHA600222,USHA600129,USHA603896,USTM920266,USZA300039,USHA603439,USZA000650,USHA600479,USHA600436,USZA002864,USZA002082,USHA600993,USZA300534,USHA600285,USHA600422,USZA002737,USHA600557,USHA600518,USHA603139,USHA600572,USZA002287,USZA000989,USZA002349,USHA600080,USHA600976,USZA002198,USHA600566,USZA000623,USZA000790,USZA002907,USZA000999,USHA600750,USZA002412,USZA300026,USZA002275,USHA600771,USZA000590,USZA002644,USHA603998,USZA301331,USZA000423,USTM920433,USHA600329,USHA603858,USHA600332,USZA300147,USHT605199,USZA002424"
URFI881142,生物制品,"USHA688443,USZA300122,USZA301166,USZA301047,USHA600211,USZA300142,USZA300357,USZA002880,USHA600867,USHA600161,USHA688278,USHA688520,USZA002252,USTM920344,USHA688336,USZA300485,USHA688163,USHA688331,USZA000403,USHA688319,USHA688105,USTM920047,USHA688428,USZA000534,USHA688062,USHA600739,USHA688136,USHA688185,USZA300601,USTM920575,USZA300841,USZA002773,USHA603590,USHA688687,USHA688180,USHA688137,USHA688670,USZA301393,USZA301207,USZA002007,USHA688765,USHA603087,USZA300239,USHA688739,USZA000661,USZA300318,USZA300294,USZA301080,USHA688276,USHA688177,USZA300009,USHA688488,USZA002581,USZA000518,USZA002693"
URFI881143,医药商业,"USHA600056,USZA000705,USZA000411,USHA603939,USZA002727,USZA300937,USZA301017,USHA601607,USHA603716,USHA603108,USZA002589,USHA600829,USHA600713,USZA002788,USHA603368,USHA603883,USHA600272,USHA600998,USZA301584,USHA605266,USZA002462,USZA301408,USZA000078,USHA603122,USZA000028,USHA600511,USZA301370,USHA600833,USHA603233,USZA301126,USZA000950,USZA301015"
URFI881144,医疗器械,"USHA600645,USTM920992,USZA300981,USHA688317,USZA300653,USHA603976,USHA603301,USHA688301,USZA002223,USHA688253,USZA300677,USZA300942,USZA300030,USHA688575,USHA688016,USHA600587,USZA300832,USHA688358,USHA688626,USHA688576,USZA301234,USHA688580,USHA603309,USHA688351,USHA603014,USHA688161,USZA300642,USHA688277,USZA301097,USHA688013,USHA688399,USHA688289,USZA002551,USHA688410,USHA600529,USZA300453,USHA688085,USZA300298,USHA688108,USHA688338,USHA688217,USZA301367,USHA688193,USHA688068,USHA688389,USTM920069,USZA300595,USHA603880,USHA688029,USZA300482,USHA603392,USHA600055,USZA300439,USZA301363,USZA300760,USZA301033,USZA300463,USHA688273,USZA300341,USTM920278,USHA688271,USZA301188,USZA300289,USZA300206,USZA300562,USZA300003,USZA002382,USZA301087,USHA688468,USZA002022,USHA688607,USHA688426,USHA688314,USZA300869,USHA603987,USZA300639,USZA300633,USZA300406,USZA002432,USTM920925,USHA688026,USHA688805,USZA300529,USHA603205,USHA603222,USHA600807,USHA603387,USHA688366,USHA688617,USZA002817,USHA688151,USZA301093,USHA688114,USHA688656,USHA688677,USTM920166,USHA603718,USHA688139,USHA600538,USZA300238,USHA605369,USZA301515,USZA300049,USZA301290,USZA300171,USHA688298,USZA002086,USZA300396,USTM920009,USZA300314,USZA002901,USZA002030,USHA688236,USZA300358,USTM920300,USZA301602,USZA301122,USTM920504,USHA688767,USHA688712,USZA300246,USHA688198,USHA688212,USHA688606,USZA002950,USHA688613,USHA688075,USHA603658,USHA688581,USHA688393,USHA688067,USTM920050,USZA300753,USZA301580,USTM920180,USHA688050,USZA300685,USZA300326,USZA002932"
URFI881145,电力,"USHA600163,USHA601985,USZA003816,USHA600023,USHA600032,USZA002256,USZA002053,USZA000539,USZA001896,USHA600157,USZA000862,USZA002480,USHA605162,USHA600956,USHA603105,USZA002015,USHA600505,USHA600173,USZA000543,USZA002218,USHA600780,USHA600509,USZA000591,USZA000531,USZA000631,USHA605028,USZA000027,USZA000037,USHA600642,USZA000601,USHA600021,USZA001286,USHA600116,USHA600905,USZA002039,USHA600982,USZA003035,USHA688248,USHA600995,USHA600101,USZA000993,USHA600868,USZA000537,USZA002617,USZA001289,USHA600167,USZA001258,USHA600644,USHA600149,USZA300317,USZA300040,USHA601908,USZA002893,USHA600578,USHA601778,USZA000767,USHA600821,USZA001210,USHA601016,USHA603693,USZA002608,USZA000600,USHA601619,USZA000692,USHA600575,USHA600744,USHA600025,USHA600863,USHA600011,USHA600475,USHA600930,USHA600396,USHA600027,USZA000722,USZA000883,USHA605580,USHA600226,USHA605011,USHA600886,USHA600795,USHA600236,USHA600098,USHA600310,USHA600979,USZA000899,USZA000791,USZA002479,USHA600483,USHA600452,USHA600052,USZA002310,USHA600292,USZA000875,USZA000958,USZA300335,USHA601991,USHA600719,USHA600674,USZA000155,USHA600969,USZA000966,USZA002616,USHA600900,USZA000690,USZA001376,USTM920770,USZA300125,USZA000595"
URFI881146,燃气,"USHA603080,USHA600803,USHA603689,USZA300332,USHA603318,USZA001331,USZA000407,USZA002259,USHA601139,USZA002267,USZA002700,USZA001299,USHA605368,USTM920010,USHA605090,USHA605169,USHA600617,USHA600903,USZA002911,USHA603706,USZA000593,USHA600635,USHA600917,USHA603053,USHA600333,USHA600681,USZA000669"
URFI881148,港口航运,"USZA000507,USHA600428,USHA600026,USHA601919,USHA601866,USHA603565,USHA601975,USHA601872,USZA001872,USZA000088,USHA603209,USHA600717,USHA601000,USZA000905,USHA600018,USHA600017,USHA601298,USHA601326,USHA601022,USHA600798,USHA601018,USZA002040,USHA601880,USHA601008,USHA601083,USZA002320,USHA603162,USHA600751,USTM920571,USHA601228,USZA000520,USHA600279,USZA001205,USHA603167,USZA000582,USHA600179"
URFI881149,公路铁路运输,"USHA600020,USZA001213,USZA001965,USZA000429,USZA000900,USZA000557,USHA600368,USHA600012,USHA600125,USHA601107,USHA600548,USHA600834,USZA000755,USHA600350,USHA600377,USHA601188,USHA601816,USHA600650,USHA600561,USHA601518,USZA000548,USHA603069,USZA000886,USHA601333,USHA600269,USZA002357,USHA600033,USZA000828,USHA600611,USHA601006,USHA600106,USHA600035"
URFI881151,机场航运,"USZA000099,USHA601111,USHA600115,USHA600897,USZA000089,USHA600009,USHA600029,USHA603885,USZA002928,USHA600515,USHA600221,USHA601021,USHA600004"
URFI881152,物流,"USHA601598,USZA000927,USHA603967,USHA600787,USZA000906,USZA002120,USHA600233,USZA001228,USHA603066,USZA300013,USHA600704,USHA603071,USZA002800,USHA600057,USHA600755,USZA002352,USZA001220,USZA002468,USHA603329,USZA001317,USHA600180,USZA002769,USHA603117,USHA603713,USZA002682,USHA603006,USZA001202,USHA600153,USHA603871,USHA603535,USZA300350,USHA603128,USTM920351,USZA002930,USZA002492,USHA603836,USZA300873,USZA001391,USHA600603,USHA605050,USZA300240,USHA601156,USZA002889,USZA002010,USHA603648,USHA603569,USHA600119,USHA600794,USZA002485,USHT603813,USHT600753"
URFI881153,房地产,"USHA600684,USZA000042,USHA601512,USZA002188,USHA600675,USZA000797,USHA600007,USZA001979,USZA001914,USHA600895,USZA000573,USZA000514,USZA000620,USHA600692,USHA600657,USHA600638,USZA002968,USHA601155,USHA600773,USZA000560,USHA600648,USZA000090,USHA600665,USZA000965,USZA300917,USHA600736,USZA000718,USHA600376,USHA600604,USZA002016,USZA002285,USZA000006,USZA000011,USZA000029,USHA600748,USHA600848,USZA000014,USZA000863,USZA002146,USZA000517,USHA600208,USHA600533,USHA600639,USHA600724,USZA002314,USHA600064,USHA603506,USHA600246,USZA000002,USHA600606,USHA600663,USHA600463,USHA600683,USHA600791,USHA600322,USZA000897,USHA600383,USZA000402,USHA600340,USZA000036,USHA600503,USHA600325,USHA600510,USZA002208,USZA002133,USHA600708,USHA600622,USZA000926,USHA600716,USHA600658,USZA000031,USHA600094,USHA600159,USHA600649,USHA600266,USZA002244,USHA600048,USZA002822,USHT600136,USHT600082,USZA000736,USZA000609,USZA000608,USZA000909,USZA000668,USZA000656,USZA000838"
URFI881155,银行,"USHA601860,USHA601998,USHA601988,USZA002936,USHA601916,USHA600036,USZA002839,USHA601077,USHA601658,USHA601166,USHA600928,USHA601187,USZA002966,USHA603323,USHA601229,USHA601528,USZA002958,USZA002948,USHA600000,USZA000001,USHA601288,USZA002142,USHA601009,USHA600908,USHA600016,USZA001227,USHA601665,USHA601328,USZA002807,USHA600919,USHA601939,USHA600015,USHA601825,USHA600926,USHA601997,USHA601818,USHA601398,USHA601963,USHA601838,USHA601577,USHA601128,USHA601169"
URFI881156,保险,"USHA601601,USHA601628,USHA601319,USHA601318,USHA601336"
URFI881157,证券,"USHA601375,USHA601696,USHA600030,USHA601066,USHA600918,USHA601995,USHA601881,USHA601878,USHA600999,USHA601377,USHA601059,USHA600095,USHA600369,USZA002673,USHA601162,USHA601099,USHA601136,USZA000166,USZA002500,USHA601990,USZA000712,USHA600621,USZA002926,USHA601688,USZA002945,USHA600155,USHA600909,USHA600864,USHA601236,USZA000728,USZA002736,USHA600061,USHA601211,USZA002670,USHA601456,USHA600109,USZA000750,USZA000776,USHA601788,USHA601901,USHA601198,USHA601555,USHA600958,USZA300059,USZA000686,USZA002797,USZA000783,USZA002939,USHA601108,USHA600906"
URFI881158,零售,"USHA600185,USHA600280,USZA000715,USHA601888,USZA000759,USHA600113,USHA600239,USHA600655,USZA002177,USHA600778,USZA002277,USHA601933,USHA600858,USHA600824,USZA002561,USHA600628,USHA600785,USHA600415,USHA600162,USZA000501,USHA601010,USHA600859,USZA000419,USZA000829,USZA002419,USZA000058,USHA600838,USHA601116,USZA000007,USHA600790,USHA600697,USZA000061,USHA600857,USHA600712,USZA300972,USHA601828,USHA600828,USHA601366,USHA600738,USZA000785,USHA603682,USZA300022,USHA600605,USHA603101,USZA300755,USHA600743,USZA000882,USZA002356,USHA600814,USZA002344,USZA301078,USHA603708,USZA002697,USZA000417,USHA605188,USHA601086,USZA002187,USZA000564,USZA002818,USHA600693,USZA300947,USHA600694,USZA000679,USHA600729,USZA002251,USZA300622,USHA600827,USHA600865,USHA603214,USZA002416,USZA002305,USZA000056"
URFI881159,贸易,"USHA601061,USZA000151,USZA002183,USHA600725,USZA000626,USHA600058,USZA000701,USHA600710,USHA600287,USHA600981,USHA600128,USZA002072,USZA002091,USHA600278,USHT600608"
URFI881160,旅游及酒店,"USZA002707,USHA600138,USZA002059,USHA600576,USZA300859,USHA600749,USZA000721,USHA605108,USHA603136,USZA000558,USZA300144,USHA600258,USHA603402,USZA002627,USZA002159,USZA002186,USHA600706,USHA600250,USZA000524,USZA002033,USZA000796,USZA301073,USHA603199,USHA600754,USHA601007,USHA600054,USZA000428,USZA000069,USZA000978,USZA000888,USHA600593,USHA603099,USZA000430,USZA002306,USZA000610"
URFI881162,通信服务,"USZA000889,USHA600941,USHA600050,USHA601728,USZA300560,USHA603220,USZA301139,USZA300310,USZA002316,USZA300959,USZA300292,USZA301380,USZA300895,USZA300113,USHA603881,USZA300846,USZA301428,USZA300050,USZA002115,USZA300442,USZA002929,USZA002544,USZA300571,USZA300921,USZA002123,USZA000815,USZA300603,USHA603206,USZA300597,USZA300578,USZA300025,USZA300513,USZA002093,USZA000839,USTM920924,USZA300383,USZA301382,USZA002467,USHA603887,USZA002148,USZA300738,USHT600289,USHT603559,USZA300081,USZA002289"
URFI881164,文化传媒,"USHA603602,USZA301299,USZA000719,USZA300788,USZA300364,USHA600373,USHA601098,USHA601858,USHA601949,USZA000676,USZA300785,USHA600986,USHA601921,USZA301102,USHA603533,USZA002181,USZA002878,USHA603598,USZA300781,USZA301171,USZA002291,USZA300612,USZA300770,USHA603096,USHA601811,USHA603888,USHA600825,USZA002264,USHA601801,USZA300148,USZA002354,USHA600556,USZA002238,USZA300063,USZA002995,USZA002712,USZA000681,USZA300654,USHA600551,USZA002400,USZA002095,USHA601019,USHA605168,USZA301231,USHA603000,USZA300061,USHA603230,USHA601900,USZA301551,USZA300413,USHA603729,USHA605577,USTM920021,USZA300058,USHA600959,USZA300242,USHA601929,USZA000156,USZA000607,USZA000665,USZA301262,USZA301052,USHA600640,USHA600358,USHA600996,USHA600831,USHA600037,USZA300071,USHA601928,USHA603466,USZA002027,USZA301313,USHA603999,USZA301025,USHA600637,USZA300805,USZA000917,USZA300987,USHA601999,USHA600229,USHA600757,USHT603825,USZA300295,USZA000793,USHT600228"
URFI881165,综合,"USHA600770,USZA000753,USHA600805,USHA600881,USHA600620,USHA600089,USZA000025,USZA000652,USHA600689,USZA000632,USZA002575,USHA600051,USHA600682,USZA000421,USHA600676,USHA600673"
URFI881166,军工装备,"USHA688070,USHA600038,USHA688297,USZA003009,USZA300810,USZA300777,USHA600765,USZA000768,USHA600760,USHA600372,USHA600862,USZA302132,USHA600118,USHA601698,USHA600764,USHA600150,USHA600685,USZA000519,USHA601890,USZA002829,USZA300722,USZA002933,USHA688122,USZA002111,USTM920642,USZA300922,USZA300008,USHA603268,USZA301696,USZA300775,USHA605123,USHA600967,USHA688685,USHA688231,USZA002651,USHA688282,USZA300875,USZA300589,USHA688586,USZA002265,USZA301586,USHA688708,USHA688281,USHA600316,USZA300965,USHA688239,USHA688510,USZA300424,USHA688523,USHA688066,USHA600879,USZA002389,USZA000738,USHA600391,USHA600893,USHA688563,USZA002023,USZA300065,USZA300600,USHA688543,USZA300900,USZA300699,USZA002625,USHA600184,USZA300034,USZA000576,USZA000561,USZA300395,USHA688818,USTM920006,USZA300581,USHA688237,USHA601606,USZA002297,USZA002985,USHA600435,USZA301357,USZA300719,USZA300696,USZA300527,USZA000697,USHT603261,USHT688287"
URFI881167,非金属材料,"USZA000833,USTM920971,USHA603612,USHA603663,USZA001359,USTM920719,USHA605086,USHA688300,USZA301071,USHA603826,USHA603688,USTM920175,USZA001296,USTM920675"
URFI881168,工业金属,"USHA600961,USHA603527,USHA600595,USZA000758,USZA000060,USHA601600,USZA000816,USHA601388,USZA000878,USZA000807,USHA600531,USHA605208,USHA603271,USZA300337,USZA002540,USHA600615,USZA003038,USTM920634,USHA600888,USZA000751,USHA600338,USHA601168,USZA000630,USZA002532,USZA002996,USZA000933,USHA600490,USHA600219,USZA300057,USHA601677,USZA002578,USHA603993,USZA002114,USZA002501,USHA603937,USZA002295,USHA601609,USHA603132,USHA603979,USZA000612,USHA600362,USHA601020,USHA601702,USZA002379,USZA002824,USZA002988,USZA002203,USHA603876,USZA300697,USHA600711,USZA000603,USHA600361,USZA002171,USHA600497,USZA002160,USZA000737,USHA601212"
URFI881169,贵金属,"USHA601899,USHA600489,USZA000506,USZA000426,USZA300139,USHA601069,USZA001337,USZA000975,USHA600547,USZA002155,USZA002716,USZA002237,USHA600988"
URFI881170,小金属,"USHA600259,USZA000657,USZA002738,USZA001280,USZA000831,USZA002378,USZA002428,USZA300328,USZA002842,USZA000960,USZA002149,USTM920068,USHA600549,USHA601958,USHA688750,USHA600281,USHA600301,USZA301026,USZA000688,USHA600459,USZA002167,USZA000962,USZA001257,USHA600392,USHA600111,USHA600456,USZA002182,USZA002978"
URFI881171,自动化设备,"USHA603275,USTM920260,USHA688777,USZA300097,USZA301512,USZA301312,USHA688395,USZA301029,USZA002334,USZA301021,USHA603666,USHA688816,USHA688312,USTM920885,USHA603416,USZA301112,USZA002527,USZA301418,USHA688698,USZA300607,USZA300461,USHA688003,USHA688570,USZA301568,USHA688623,USZA300853,USZA300276,USHA603283,USZA300747,USHA688215,USHA688090,USZA301360,USHA600215,USZA001223,USZA301199,USHA688310,USZA300757,USHA688017,USHA688400,USHA688518,USZA002979,USTM920425,USZA300484,USHA603203,USZA002957,USHA688255,USHA605288,USHA688306,USTM920578,USZA300802,USHA688290,USZA300400,USZA300220,USHA603583,USHA688025,USHA688218,USHA605186,USZA300024,USTM920579,USZA300124,USZA000988,USZA300278,USHA603015,USZA001266,USTM920125,USHA688320,USZA301320,USTM920405,USHA688559,USZA002184,USZA300227,USZA301510,USZA301633,USZA300486,USTM920593,USHA688170,USZA301200,USZA002008,USHA603025,USZA300430,USTM920396,USHA688160,USHA688097,USZA002698,USZA002975,USHA688188,USHA688686,USHA688125,USHA688329,USZA002747,USHA688165,USHT688646"
URFI881172,电子化学品,"USZA300684,USHA688549,USHA688146,USHA688545,USZA002584,USZA301319,USZA301630,USHA600330,USHA688603,USZA301489,USZA300236,USHA688359,USHA688550,USZA300576,USZA300481,USZA300346,USZA002643,USHA688150,USHA688683,USZA300429,USZA300655,USHA688106,USHA603078,USHA688268,USHA603256,USHA603002,USHA603115,USZA300285,USTM920402,USZA300537,USHA688548,USZA002741,USHA603931,USZA300398,USHA688371,USHA688020,USZA300054,USHA688035,USHA688378,USHA688019"
URFI881173,小家电,"USZA002705,USZA002959,USZA002032,USZA300247,USHA603579,USZA301187,USZA001259,USHA603355,USHA603486,USZA300272,USZA002242,USTM920926,USHA603219,USHA603868,USHA688169,USZA301332,USHA605555,USZA003023,USHA603215,USTM920199,USHA688793,USZA300824,USZA002614,USZA002403,USZA002005"
URFI881174,厨卫电器,"USZA002677,USZA300911,USHA603366,USZA002543,USZA002508,USZA300894,USZA002035,USHA603551,USHT605336"
URFI881175,医疗服务,"USHA603127,USZA300143,USHA688710,USZA300725,USHA603259,USHA688046,USHA688621,USZA002219,USHA600763,USZA300347,USTM920670,USZA301293,USZA300149,USZA301239,USZA301257,USZA301333,USHA688315,USHA688265,USZA301520,USZA002044,USHA688202,USZA301060,USZA300759,USZA002821,USHA603456,USHA603882,USZA301509,USZA002622,USHA688131,USZA301230,USZA301267,USZA301235,USZA300676,USZA301103,USHA688238,USZA300683,USZA000516,USZA002524,USZA300244,USHA600257,USHA600327,USZA002173,USZA301201,USHA688222,USZA300363,USZA300404,USHA688073,USZA000710,USHA600721,USZA301096,USHA688796,USZA002172,USHA688293,USZA300015,USHT600568,USZA000504"
URFI881177,互联网电商,"USZA300792,USZA300464,USZA300518,USHA600539,USZA301558,USZA301381,USZA003010,USZA301110,USZA002127,USHA605136,USZA002640,USZA301001,USZA002315,USZA002803,USZA300209,USZA300592,USHA603613,USZA002024,USHT600365"
